R2,RMSE,MAE,Pearson_r,Spearman_rho,Phenotype,Model,Fold
0.6389043673794705,0.26484331124728233,0.17266672185305376,0.9507266318640539,0.6390096504226938,Phenotype_WheatHead,Ridge,1
-3.8982982362044467,0.6803554901284834,0.3876362790732205,-0.0452296227136565,0.5020790110464023,Phenotype_WheatHead,Ridge,2
0.7223374961390038,0.464479450497279,0.28155255944315877,0.9015264503612499,0.840168050416806,Phenotype_WheatHead,Ridge,3
-0.5715691958584173,0.38234932101237656,0.3507998735255949,0.2915463633592424,0.11736911946539273,Phenotype_WheatHead,Ridge,4
-0.376260299765103,0.23423698421900013,0.17842529516393102,0.02913344395743911,-0.06337242505244779,Phenotype_WheatHead,Ridge,5
0.24767288589490832,0.39681509599787396,0.2433246748116319,0.5489338678544116,0.5199268172771004,Phenotype_WheatHead,Ridge,6
-0.5129820568384174,1.1671008153672409,0.7298044108640556,0.022321696817487642,0.4364357804719848,Phenotype_WheatHead,Ridge,7
0.1835849100648016,2.66321306089972,1.2910483854145107,0.6218603097555604,0.9132233209773138,Phenotype_WheatHead,Ridge,8
-2.9959318009396307,0.3991298515258343,0.29039591254656194,-0.32289962930635785,0.0,Phenotype_WheatHead,Ridge,9
-0.07192776399671619,0.3375765751770231,0.24723569799299225,0.4986816107539207,0.4948716593053935,Phenotype_WheatHead,Ridge,10
0.607469989229345,0.27613046504067407,0.23113260769241503,0.8567285342581265,0.45643546458763845,Phenotype_WheatHead,SVR,1
-0.6840611127514924,0.3989258742608454,0.3647179455597651,0.8547324330069794,0.7302967433402214,Phenotype_WheatHead,SVR,2
0.5519669398887086,0.5900148162505857,0.3708457831106138,0.9242377286895135,0.8366600265340756,Phenotype_WheatHead,SVR,3
-0.9162626899380852,0.42220278271671985,0.31969512014845386,0.40511715622525934,0.2999433053004481,Phenotype_WheatHead,SVR,4
-9.25796419870331,0.6394929577880958,0.536995769858368,-0.05152038078764415,-0.12598815766974242,Phenotype_WheatHead,SVR,5
0.18398702058796024,0.4132695067119596,0.2939852199566205,0.7206189646354607,0.4811252243246882,Phenotype_WheatHead,SVR,6
0.01885134413918188,0.9398507456230639,0.8088691423698109,0.22609710467757824,0.19094065395649334,Phenotype_WheatHead,SVR,7
-0.11983548720962656,3.1190871780730824,1.691455782754993,0.5402677743714239,0.7610194341477616,Phenotype_WheatHead,SVR,8
-5.077708358668464,0.4922379631872528,0.3312333412271803,0.3695690073501935,0.37796447300922725,Phenotype_WheatHead,SVR,9
-0.2995221045332428,0.37169042927789286,0.3022078187981858,0.8115211100906121,0.8660254037844387,Phenotype_WheatHead,SVR,10
0.31383144480670355,0.3650844177813223,0.2592438944361617,0.6070536594645758,0.5477225575051661,Phenotype_WheatHead,RandomForest,1
0.12540948451308886,0.28748531363023655,0.25122873071941926,0.6611283066233276,0.7302967433402214,Phenotype_WheatHead,RandomForest,2
0.7298548830569588,0.4581486885735267,0.33491618267019746,0.9668671867264903,0.8366600265340756,Phenotype_WheatHead,RandomForest,3
-2.305225489088433,0.554490507972311,0.4468939532972054,0.08387565352259312,0.14345114601325779,Phenotype_WheatHead,RandomForest,4
-0.8189627629416376,0.2692880497334546,0.24037405421905367,0.07222793336658645,0.12598815766974242,Phenotype_WheatHead,RandomForest,5
0.5768921388750563,0.2975845472246059,0.2590565677590018,0.8078281710724093,0.4811252243246882,Phenotype_WheatHead,RandomForest,6
-0.39027511902392353,1.1187726965437987,0.7448275110764191,0.0031792454716623175,0.4364357804719848,Phenotype_WheatHead,RandomForest,7
-0.21281950376557712,3.2459997839170005,1.7606454959395323,0.9148832276069075,0.9132233209773138,Phenotype_WheatHead,RandomForest,8
-3.6708254496920993,0.4315210598195304,0.2821154569910086,-0.07619703205674783,0.25197631533948484,Phenotype_WheatHead,RandomForest,9
-0.6737579136134955,0.4218284475584376,0.30477817715968697,0.4054133136380622,0.4948716593053935,Phenotype_WheatHead,RandomForest,10
0.004442535555264637,0.43975527501985173,0.2727563617727222,0.2791807916695454,0.3195048252113469,Phenotype_WheatHead,GBR,1
-0.5633049828263996,0.3843573034228541,0.31622566024632476,0.22534363763514775,0.38797014489949266,Phenotype_WheatHead,GBR,2
0.7900289658167804,0.40391276682805327,0.3345629347652058,0.931490000351947,0.5976143046671969,Phenotype_WheatHead,GBR,3
-1.6568017464707152,0.4971336303371382,0.4081082573629123,0.007952814791557392,-0.07824607964359516,Phenotype_WheatHead,GBR,4
-2.70642375385698,0.38439940969768416,0.2819093889889276,-0.23074531236671111,-0.12598815766974242,Phenotype_WheatHead,GBR,5
0.42131181489540714,0.3480223508604959,0.29062979049250454,0.6518791932028423,0.2886751345948129,Phenotype_WheatHead,GBR,6
-0.7898885492438079,1.2694174923622485,0.869655479940237,-0.14969754459300277,0.5182674893104818,Phenotype_WheatHead,GBR,7
-0.17519986514503838,3.1952604720284032,1.7110775766970034,0.844138206913126,0.8498050347983337,Phenotype_WheatHead,GBR,8
-4.14223249583734,0.4527735319026614,0.29107164479679803,-0.16189800822866812,0.25819888974716115,Phenotype_WheatHead,GBR,9
-0.4226335563380168,0.3888983200887229,0.2848903887966423,0.5214075159675445,0.4948716593053935,Phenotype_WheatHead,GBR,10
0.7649347112325282,0.21368406792266192,0.1131842864465063,0.93540885602779,0.3796283011826483,Phenotype_WheatHead,MLP,1
0.40963358323976884,0.23619685138716398,0.12002760984936511,0.9648125441452632,0.7627700713964739,Phenotype_WheatHead,MLP,2
0.8286091283184752,0.36492341522085714,0.22091099254443874,0.9912145407509354,0.8509629433967633,Phenotype_WheatHead,MLP,3
-9.312062303700664,0.9794140585337539,0.6276953646496882,0.14050459886025307,-0.03912303982179758,Phenotype_WheatHead,MLP,4
-45.03187048572645,1.3546730410499912,0.5956708062368865,-0.20380970460878545,0.0,Phenotype_WheatHead,MLP,5
0.44679796022933616,0.3402723926719254,0.2136612007679633,0.9268246597581073,0.6902093080282886,Phenotype_WheatHead,MLP,6
-0.0030315975579244814,0.9502738774570416,0.5830899063561468,0.47303052391241435,0.5488212999484516,Phenotype_WheatHead,MLP,7
-0.07384804940593392,3.0543712044250446,1.5778744693197437,0.7372735963853344,0.8676688508739642,Phenotype_WheatHead,MLP,8
-0.8451893998110258,0.27122246100052244,0.166017506115851,-0.17784992389503346,0.24743582965269675,Phenotype_WheatHead,MLP,9
-9.406293397169843,1.051810679555124,0.531515202880583,0.310060964577809,0.563436169819011,Phenotype_WheatHead,MLP,10
0.08124474525218717,0.4224524267308862,0.36098281573110635,0.508383181282407,0.7074749701108396,Phenotype_WheatHead,PNNGS,1
0.29900107589626435,0.25737831743470513,0.18522226505588268,0.5971195031984018,0.59336610396393,Phenotype_WheatHead,PNNGS,2
0.1540596262929098,0.8107328364661364,0.656549965111925,0.5554391209402335,0.11952286093343936,Phenotype_WheatHead,PNNGS,3
-1.6271043331733641,0.49434737210401875,0.44686016969032394,-0.05361206606860991,-0.03912303982179758,Phenotype_WheatHead,PNNGS,4
-5.7185205752862505,0.5175377132691492,0.473193832157746,-0.2725335360032355,-0.25197631533948484,Phenotype_WheatHead,PNNGS,5
0.15062854601632214,0.4216320917548841,0.34673920365051275,0.6250598262785181,0.5773502691896258,Phenotype_WheatHead,PNNGS,6
0.031021431772520036,0.9340036414277376,0.705725459572834,0.3322671122889529,0.2182178902359924,Phenotype_WheatHead,PNNGS,7
-0.07413207204918604,3.0547751038542676,1.6594158664741987,0.6822992464942159,0.9132233209773138,Phenotype_WheatHead,PNNGS,8
-3.802811884196645,0.4375754671489553,0.36692536682642346,-0.05427028488231028,0.12598815766974242,Phenotype_WheatHead,PNNGS,9
0.07460838180026463,0.3136550784752117,0.23527070922463447,0.4719127568543098,0.5361109642475097,Phenotype_WheatHead,PNNGS,10
